section,completed
2.1.0,YES
2.1.1,YES
2.1.2,YES
2.1.3,YES
2.2.0,YES
2.2.1,YES
2.2.2,YES
2.2.3,YES
2.2.4,YES
2.2.5,YES
2.2.6,YES
2.2.7,YES
2.3.1,PARTIAL
2.3.2,PARTIAL
2.3.3,PARTIAL
2.3.4,PARTIAL
2.3.5,YES
2.3.6,PARTIAL
2.4.1,NO
2.4.2,NO
2.4.3,NO
2.5.1,NO
2.5.2,NO
2.5.3,NO
2.5.4,NO

Note: Any field with PARTIAL is because we didn'implement the
    double click to edit element modal implementation. But 
    rest of each feature was fully implemented.
FE_DEPLOYED_URL: https://z5422273-presto-fe-deploy.vercel.app/
